var1,var2,var3,var4,var5,prob_label
B,D,D,C,D,1
C,D,E,E,D,0.09
E,E,E,B,C,0.027
A,A,D,D,B,1
E,A,A,C,E,0.09
B,C,D,B,B,1
E,D,C,D,C,0.3
A,C,E,A,E,0.09
E,D,D,A,E,0.09
D,D,E,C,B,0.3
D,D,D,C,C,1
A,A,A,E,E,0.09
A,C,C,D,D,1
E,E,A,B,C,0.09
D,E,E,D,E,0.027
E,D,B,A,B,0.3
C,A,D,C,C,1
A,E,B,E,C,0.09
D,A,B,D,E,0.3
A,C,A,E,D,0.3
D,C,B,A,C,1
C,E,B,B,B,0.3
D,A,D,C,C,1
B,E,D,A,C,0.3
B,C,C,C,E,0.3
E,A,A,A,C,0.3
A,B,C,A,B,1
B,B,C,B,E,0.3
C,D,D,C,C,1
E,D,B,D,B,0.3
C,B,D,E,D,0.3
A,E,C,B,A,0.3
E,A,E,A,E,0.027
D,B,C,B,E,0.3
B,C,B,C,E,0.3
A,B,A,C,B,1
B,A,D,B,A,1
E,C,B,C,D,0.3
E,C,C,C,E,0.09
C,A,E,E,C,0.09
E,A,B,B,B,0.3
C,C,B,A,D,1
A,D,D,E,C,0.3
A,C,E,E,A,0.09
D,A,A,D,D,1
B,E,E,D,A,0.09
C,E,E,B,C,0.09
E,A,D,A,B,0.3
C,C,C,A,B,1
A,B,A,A,D,1
D,D,A,E,C,0.3
D,C,A,E,B,0.3
C,D,D,D,A,1
D,E,C,C,D,0.3
E,E,A,A,C,0.09
A,A,C,D,D,1
E,D,A,C,E,0.09
C,E,D,D,A,0.3
B,B,E,D,C,0.3
E,E,D,D,B,0.09
E,B,A,D,A,0.3
D,E,A,E,D,0.09
A,E,B,A,A,0.3
A,A,D,E,C,0.3
B,D,C,D,D,1
C,D,A,C,C,1
E,E,E,A,D,0.027
D,B,A,C,E,0.3
C,B,B,C,B,1
A,C,B,A,A,1
E,D,A,C,A,0.3
D,C,C,E,C,0.3
C,B,B,B,B,1
C,E,E,B,E,0.027
E,C,B,E,C,0.09
A,A,C,A,E,0.3
A,B,C,C,B,1
A,B,C,A,E,0.3
B,D,E,B,D,0.3
B,A,D,C,D,1
E,D,E,A,A,0.09
D,C,E,E,C,0.09
A,C,C,D,B,1
E,A,B,A,D,0.3
D,D,A,A,A,1
B,E,E,E,B,0.027
B,E,C,B,E,0.09
E,B,E,C,B,0.09
E,E,D,E,C,0.027
D,E,A,B,A,0.3
D,C,C,C,C,1
D,E,A,B,D,0.3
E,A,C,D,A,0.3
D,D,C,B,D,1
C,C,E,B,D,0.3
B,E,A,C,B,0.3
A,A,D,A,C,1
A,C,A,E,E,0.09
D,A,A,D,B,1
E,C,D,B,D,0.3
E,C,C,A,C,0.3
B,C,C,E,A,0.3
C,B,C,A,E,0.3
B,B,A,C,E,0.3
E,A,A,E,C,0.09
B,D,A,B,B,1
E,A,D,C,A,0.3
D,D,B,B,A,1
D,A,B,D,D,1
D,E,C,B,A,0.3
D,B,D,C,E,0.3
B,E,B,B,E,0.09
E,C,B,A,A,0.3
B,D,E,D,B,0.3
D,E,A,A,A,0.3
E,D,B,C,C,0.3
D,E,D,B,E,0.09
E,D,B,C,D,0.3
E,C,A,D,A,0.3
E,A,C,B,C,0.3
A,B,A,E,B,0.3
E,B,E,C,B,0.09
A,B,E,D,A,0.3
B,B,D,B,E,0.3
D,C,C,D,C,1
B,D,C,C,C,1
A,A,B,E,B,0.3
E,A,E,D,A,0.09
D,E,E,A,A,0.09
A,A,B,D,B,1
A,A,A,A,D,1
A,B,C,A,B,1
D,A,D,A,C,1
D,B,C,B,C,1
B,A,D,B,D,1
C,E,C,C,A,0.3
D,D,E,A,E,0.09
C,D,D,C,A,1
A,D,D,B,D,1
D,D,C,A,C,1
A,A,D,A,C,1
D,B,B,B,D,1
B,D,B,E,B,0.3
B,D,B,B,A,1
A,C,D,D,E,0.3
C,D,D,C,A,1
A,C,E,C,A,0.3
D,B,C,D,B,1
E,A,B,B,A,0.3
B,A,D,B,A,1
D,D,E,A,C,0.3
A,E,A,C,B,0.3
B,D,A,B,A,1
A,D,E,D,E,0.09
B,A,E,C,D,0.3
D,B,C,E,D,0.3
A,A,A,E,A,0.3
D,D,D,D,E,0.3
C,A,A,B,E,0.3
D,A,E,A,C,0.3
B,A,B,A,C,1
D,C,D,B,E,0.3
D,B,A,C,C,1
D,A,A,E,A,0.3
E,A,B,D,B,0.3
D,A,E,B,C,0.3
B,A,B,C,B,1
E,D,A,E,E,0.027
C,B,D,D,A,1
E,A,E,E,A,0.027
E,A,D,D,D,0.3
A,A,C,A,E,0.3
B,B,D,B,A,1
B,C,A,A,C,1
D,D,D,A,A,1
B,B,E,C,D,0.3
E,D,E,C,A,0.09
E,E,D,E,C,0.027
E,A,E,D,B,0.09
D,C,E,A,C,0.3
C,D,B,D,D,1
B,C,E,D,A,0.3
D,D,A,D,A,1
D,D,A,E,E,0.09
C,D,E,C,D,0.3
D,C,D,C,C,1
C,E,D,D,D,0.3
B,B,E,E,A,0.09
E,B,C,B,D,0.3
C,E,C,D,C,0.3
A,E,C,A,A,0.3
A,E,A,A,B,0.3
B,A,B,A,E,0.3
D,D,B,B,A,1
B,C,B,E,C,0.3
D,C,D,B,D,1
A,C,E,C,C,0.3
A,A,B,A,C,1
B,E,D,C,D,0.3
E,C,E,B,E,0.027
A,B,C,E,D,0.3
E,C,D,E,B,0.09
A,D,E,E,D,0.09
C,D,B,D,B,1
B,A,B,E,E,0.09
B,D,D,E,C,0.3
A,B,D,B,C,1
B,E,A,E,B,0.09
C,B,C,A,E,0.3
A,E,D,D,E,0.09
C,A,D,A,A,1
E,C,E,E,D,0.027
E,A,C,E,E,0.027
C,D,D,D,E,0.3
A,C,B,C,A,1
C,E,A,D,B,0.3
C,D,A,A,D,1
B,E,B,C,B,0.3
B,B,E,C,D,0.3
D,A,D,A,A,1
C,B,D,D,C,1
E,E,E,E,B,0.0081
B,E,A,B,E,0.09
C,C,D,E,C,0.3
C,C,A,C,D,1
A,B,B,D,D,1
D,C,D,D,A,1
D,B,A,A,E,0.3
D,B,B,B,C,1
E,D,A,B,E,0.09
C,A,E,E,A,0.09
C,D,B,B,E,0.3
B,C,E,B,E,0.09
B,B,C,E,B,0.3
D,B,C,A,B,1
D,E,C,D,C,0.3
E,E,C,C,A,0.09
A,C,D,D,E,0.3
A,B,A,D,C,1
C,A,E,B,C,0.3
E,A,C,D,A,0.3
C,D,D,A,C,1
D,D,C,E,C,0.3
A,C,E,C,E,0.09
C,A,E,C,B,0.3
D,C,D,E,C,0.3
